20_to_25,25_to_30,30_to_35,35_to_40,40_to_45
0.0,0.0,288,415.0,0.0
0.0,0.0,367,289.0,0.0
0.0,0.0,0,100.0,0.0
0.0,0.0,228,0.0,0.0
0.0,0.0,433,593.0,0.0
0.0,0.0,385,372.0,0.0
0.0,0.0,482,264.0,0.0
0.0,0.0,318,518.0,0.0
0.0,0.0,0,429.0,0.0
0.0,0.0,368,458.0,0.0
0.0,0.0,97,324.0,0.0
0.0,0.0,180,392.0,0.0
0.0,0.0,509,81.0,0.0
0.0,0.0,361,539.0,0.0
0.0,0.0,373,0.0,0.0
0.0,0.0,1,283.0,0.0
0.0,0.0,0,268.0,0.0
0.0,0.0,340,330.0,0.0
0.0,0.0,0,453.0,0.0
0.0,0.0,393,289.0,0.0
0.0,0.0,366,378.0,0.0
0.0,0.0,105,506.0,0.0
0.0,0.0,0,454.0,0.0
0.0,0.0,278,0.0,0.0
0.0,0.0,2,502.0,0.0
0.0,0.0,318,495.0,0.0
0.0,0.0,344,0.0,0.0
0.0,0.0,260,192.0,0.0
0.0,0.0,300,314.0,0.0
0.0,0.0,267,549.0,0.0
0.0,0.0,227,531.0,0.0
0.0,0.0,181,306.0,0.0
0.0,0.0,187,349.0,0.0
0.0,0.0,373,498.0,0.0
0.0,0.0,1689,252.0,0.0
0.0,0.0,0,263.0,0.0
0.0,0.0,440,228.0,0.0
0.0,0.0,496,487.0,0.0
0.0,0.0,352,287.0,0.0
0.0,0.0,0,640.0,0.0
0.0,0.0,136,118.0,0.0
0.0,0.0,387,234.0,0.0
0.0,0.0,13,185.0,0.0
0.0,0.0,327,249.0,0.0
0.0,0.0,462,425.0,0.0
0.0,0.0,0,303.0,0.0
0.0,0.0,303,382.0,0.0
0.0,0.0,0,246.0,0.0
0.0,0.0,209,515.0,0.0
0.0,0.0,209,196.0,0.0
0.0,0.0,472,470.0,0.0
0.0,0.0,410,590.0,0.0
0.0,0.0,315,0.0,0.0
0.0,0.0,0,566.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,228,216.0,0.0
0.0,0.0,301,0.0,0.0
0.0,0.0,232,0.0,0.0
0.0,0.0,334,701.0,0.0
0.0,0.0,197,226.0,0.0
0.0,0.0,489,361.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,368,519.0,0.0
0.0,0.0,518,276.0,0.0
0.0,0.0,0,349.0,0.0
0.0,0.0,158,425.0,0.0
0.0,0.0,338,351.0,0.0
0.0,0.0,0,74.0,0.0
0.0,0.0,425,306.0,0.0
0.0,0.0,337,358.0,0.0
0.0,0.0,0,0.0,0.0
0.0,0.0,290,391.0,0.0
0.0,0.0,307,142.0,0.0
0.0,0.0,489,87.0,0.0
0.0,0.0,325,424.0,0.0
0.0,0.0,615,544.0,0.0
0.0,0.0,0,501.0,0.0
0.0,0.0,293,150.0,0.0
0.0,0.0,458,468.0,0.0
0.0,0.0,364,361.0,0.0
0.0,0.0,320,207.0,0.0
0.0,0.0,520,177.0,0.0
0.0,0.0,339,337.0,0.0
0.0,0.0,2,743.0,0.0
0.0,0.0,373,94.0,0.0
